Date,Game,red5_out,red4_out,red2_out,red3_out,red5_in,red2_in,red4_in,red1_out,red6_out,red3_in,red6_in,red1_in
20220301,22022,0,0,1,1,0,1,0,0,0,1,0,0
20220303,22023,1,1,0,0,1,0,1,0,1,0,1,0
20220306,22024,1,0,1,1,1,1,0,1,0,1,0,1
20220308,22025,0,0,0,0,0,0,0,1,0,0,0,1
20220310,22026,0,1,0,0,1,0,0,1,0,0,0,1
20220313,22027,0,1,0,0,0,0,0,0,0,0,0,0
20220315,22028,0,0,1,0,1,1,1,1,1,0,0,1
20220317,22029,0,0,0,1,0,1,0,0,0,1,0,1
20220320,22030,0,0,0,0,0,0,0,0,0,0,1,0
20220322,22031,1,1,1,1,1,1,1,1,0,0,0,0
20220324,22032,0,0,1,1,1,1,1,1,1,1,1,0
20220327,22033,1,1,0,0,0,0,0,0,0,0,0,0
20220329,22034,0,0,0,0,0,0,0,0,0,0,0,0
20220331,22035,0,1,1,1,1,1,1,1,0,1,1,1
20220403,22036,0,0,0,1,0,0,1,0,0,1,0,0
20220405,22037,0,0,1,0,0,0,0,0,0,0,0,0
20220407,22038,1,1,0,1,1,0,1,0,1,1,1,0
20220410,22039,0,0,0,0,0,0,0,0,0,0,0,0
20220412,22040,0,1,0,1,0,0,1,1,0,1,0,0
20220414,22041,1,0,0,0,1,1,1,1,1,0,1,1
20220417,22042,1,1,0,0,0,0,1,1,0,0,0,1
20220419,22043,0,0,0,0,0,0,0,0,1,0,1,0
20220421,22044,1,1,0,0,0,1,1,0,0,0,0,0
20220424,22045,0,1,0,1,0,1,0,1,0,0,0,1
20220426,22046,0,0,1,0,0,0,0,0,1,0,1,0
20220428,22047,1,1,0,0,1,0,0,1,1,0,1,1
20220501,22048,1,0,1,0,1,1,0,1,0,0,1,0
20220503,22049,1,1,0,0,0,0,1,0,0,1,0,0
20220505,22050,0,0,1,1,0,1,0,1,0,1,0,1
20220508,22051,0,1,1,1,0,1,1,1,1,1,1,0
20220510,22052,0,0,0,0,0,0,0,0,1,0,1,0
20220512,22053,1,1,1,1,1,1,1,0,0,1,0,0
20220515,22054,0,0,1,0,0,1,0,1,1,0,1,1
20220517,22055,1,1,0,0,1,0,1,0,1,0,1,0
20220519,22056,0,0,1,1,0,1,0,0,0,0,1,0
20220522,22057,0,0,0,0,0,1,0,0,0,0,0,0
20220524,22058,0,1,1,1,0,1,1,1,1,1,1,1
20220526,22059,1,1,0,0,1,1,0,1,1,0,1,1
20220529,22060,1,0,0,0,1,0,0,0,1,0,1,0
20220531,22061,0,1,0,1,0,0,0,0,0,1,0,0
20220602,22062,1,0,0,0,0,0,0,0,1,0,1,0
20220605,22063,1,1,1,0,1,1,1,1,1,0,1,1
20220607,22064,0,0,0,1,0,0,0,1,1,1,1,1
20220609,22065,0,0,0,0,0,1,1,0,1,1,1,0
20220612,22066,1,1,1,1,1,0,1,1,0,0,1,0
20220614,22067,1,0,0,0,1,0,1,0,0,1,1,0
20220616,22068,1,0,0,1,1,0,0,0,1,0,1,0
20220619,22069,1,1,0,0,1,0,0,1,1,1,1,1
20220621,22070,0,0,0,0,0,0,0,1,0,0,0,1
20220623,22071,0,1,1,0,0,1,0,1,1,0,1,1
20220626,22072,0,0,0,1,0,0,0,1,1,1,1,0
20220628,22073,0,0,1,1,0,1,0,0,0,1,1,0
20220630,22074,0,1,0,0,0,1,1,1,0,1,0,1
20220703,22075,1,0,0,0,1,0,0,1,1,0,1,0
20220705,22076,0,0,1,1,1,1,0,1,1,1,1,0
20220707,22077,0,1,0,0,0,0,1,0,0,1,0,0
20220710,22078,0,0,0,0,0,0,0,0,0,0,0,0
20220712,22079,1,1,0,1,1,1,1,1,0,1,0,1
20220714,22080,1,1,0,1,0,0,1,0,1,1,1,0
20220717,22081,1,1,0,0,0,1,1,0,0,0,1,0
20220719,22082,0,0,1,1,0,1,1,1,0,1,1,1
20220721,22083,0,0,0,1,0,0,0,0,0,1,0,0
20220724,22084,0,0,0,0,0,0,0,0,0,0,0,1
20220726,22085,0,0,1,1,0,1,0,0,0,0,0,1
20220728,22086,0,1,0,0,0,0,1,0,0,0,0,0
20220731,22087,1,1,1,1,1,1,0,1,1,1,1,0
20220802,22088,0,1,1,0,0,1,1,0,0,1,0,0
20220804,22089,0,0,0,1,0,0,0,0,0,1,0,0
20220807,22090,1,1,0,0,1,0,1,0,1,0,0,0
20220809,22091,1,1,0,1,1,0,1,0,0,1,1,0
20220811,22092,1,1,1,1,1,1,1,1,1,1,1,1
20220814,22093,0,0,0,0,0,0,0,0,0,0,0,0
20220816,22094,0,1,1,1,0,1,1,1,1,1,1,1
20220818,22095,1,0,0,1,1,0,0,1,1,0,0,1
20220821,22096,0,0,0,0,1,0,0,1,0,0,0,1
20220823,22097,0,0,0,0,0,0,0,0,1,0,1,0
20220825,22098,0,0,0,0,0,0,0,0,0,0,0,1
20220828,22099,1,1,1,0,1,1,1,0,1,0,1,1
20220830,22100,0,0,1,0,0,0,0,0,0,0,0,0
20220901,22101,0,1,0,0,0,0,1,0,0,0,1,0
20220904,22102,0,0,1,0,1,0,0,0,1,0,0,1
20220906,22103,0,0,0,1,0,0,0,1,0,1,0,0
20220908,22104,0,0,0,0,0,0,0,1,0,0,0,0
20220911,22105,0,0,0,0,1,0,1,0,0,1,0,1
20220913,22106,1,0,0,0,0,0,0,0,0,0,0,0
20220915,22107,0,0,1,0,1,1,0,0,0,1,0,1
20220918,22108,0,1,0,0,0,1,0,0,0,0,0,1
20220920,22109,1,1,0,1,1,0,1,1,0,1,0,0
20220922,22110,0,0,1,0,0,0,1,0,0,0,1,0
20220925,22111,0,1,1,1,0,1,0,0,1,0,0,0
20220927,22112,0,0,0,0,0,0,1,1,1,0,1,0
20220929,22113,1,0,0,0,0,0,0,0,1,0,1,0
20221006,22114,1,1,0,1,1,0,0,0,1,1,1,0
20221009,22115,0,1,0,0,0,1,1,0,1,1,1,0
20221011,22116,0,0,0,0,0,0,0,0,0,0,0,0
20221013,22117,1,1,1,1,1,1,1,1,1,1,1,1
20221016,22118,0,1,0,0,0,1,0,0,0,0,0,1
20221018,22119,0,1,0,1,0,0,0,1,0,0,0,1
20221020,22120,0,0,0,0,0,0,0,1,1,0,0,1
20221023,22121,0,0,0,0,0,0,0,0,0,1,1,0
20221025,22122,1,0,1,1,1,0,0,1,0,1,0,1
20221027,22123,0,1,0,1,0,0,1,0,0,1,0,0
20221030,22124,0,0,1,1,1,1,1,1,1,1,1,1
20221101,22125,0,0,0,0,0,0,0,0,0,0,0,0
20221103,22126,1,1,0,0,1,0,1,0,0,1,0,0
20221106,22127,0,0,0,0,0,0,0,0,1,0,1,1
20221108,22128,1,0,0,0,1,1,0,1,0,1,1,1
20221110,22129,1,0,1,0,1,1,1,0,0,0,0,0
20221113,22130,1,1,0,0,1,0,0,0,1,0,1,1
20221115,22131,0,0,0,0,0,0,0,1,1,0,0,1
20221117,22132,0,0,0,0,0,0,0,0,0,0,0,0
20221120,22133,1,1,1,1,0,1,0,1,1,1,0,1
20221122,22134,1,1,0,0,1,0,1,0,0,1,0,0
20221124,22135,0,0,0,0,0,1,0,0,0,0,0,0
20221127,22136,0,0,1,1,0,1,0,1,0,0,0,1
20221129,22137,0,0,0,0,0,0,0,1,0,0,0,1
20221201,22138,1,1,1,1,1,1,1,1,1,1,1,1
20221204,22139,0,0,0,0,0,0,0,0,0,0,0,0
20221206,22140,1,1,1,0,1,0,0,0,1,0,1,0
20221208,22141,1,0,0,1,1,0,1,1,1,1,1,1
20221211,22142,0,1,0,1,1,0,0,0,1,1,1,0
20221213,22143,0,0,0,1,0,0,0,0,0,1,0,0
20221215,22144,0,1,0,0,0,0,1,1,1,0,1,1
20221218,22145,1,0,0,0,1,0,0,1,0,0,0,0
20221220,22146,1,1,0,1,1,1,1,0,1,1,1,0
20221222,22147,1,0,0,0,0,0,1,0,1,0,0,1
20221225,22148,0,1,0,0,1,0,0,1,0,0,0,1
20221227,22149,0,0,0,0,0,0,0,1,0,0,0,1
20221229,22150,0,0,0,0,0,1,0,0,0,1,1,0
20230101,23001,0,0,0,0,0,0,0,0,0,0,0,0
20230103,23002,1,1,1,0,0,1,1,1,0,1,0,0
20230105,23003,0,0,0,0,0,0,0,0,0,0,0,0
20230108,23004,0,0,0,1,0,1,1,0,0,1,0,0
20230110,23005,0,0,0,0,0,1,0,1,0,0,0,1
20230112,23006,1,1,1,1,0,1,1,1,1,1,1,1
20230115,23007,1,0,0,0,1,0,1,1,0,0,0,1
20230117,23008,1,1,0,0,1,1,1,1,0,1,0,1
20230129,23009,0,0,0,0,0,0,0,0,0,0,0,1
20230131,23010,0,1,1,0,1,1,0,1,1,0,0,1
20230202,23011,0,0,1,0,0,1,0,0,0,0,0,0
20230205,23012,0,0,0,0,0,0,0,0,0,0,0,0
20230207,23013,1,1,0,0,0,0,1,0,0,1,0,0
20230209,23014,0,0,0,0,0,0,0,1,1,0,1,1
20230212,23015,0,1,0,0,0,0,1,0,0,0,0,0
20230214,23016,1,0,0,0,1,0,0,0,1,0,1,0
20230216,23017,1,1,1,1,1,1,1,1,1,1,0,1
20230219,23018,1,1,0,1,1,0,0,0,1,1,0,0
20230221,23019,0,0,1,0,0,1,0,1,0,0,0,1
20230223,23020,1,0,1,1,1,1,1,0,0,1,1,1
20230226,23021,0,0,0,0,1,0,0,1,1,0,1,1
20230228,23022,1,1,0,0,0,0,1,0,0,0,0,0
20230302,23023,1,1,1,0,0,1,0,1,0,1,1,1
20230305,23024,0,1,0,0,0,0,1,0,1,0,1,1
20230307,23025,0,0,0,0,0,0,1,1,0,0,0,1
20230309,23026,1,0,0,0,1,0,0,0,0,0,0,0
20230312,23027,0,1,1,1,0,0,1,0,1,1,1,0
20230314,23028,0,0,0,0,1,0,1,1,0,1,0,1
20230316,23029,0,0,1,1,0,1,0,0,0,1,0,0
20230319,23030,0,0,0,0,0,0,1,0,1,0,1,0
20230321,23031,0,0,1,0,0,1,0,0,0,0,0,0
20230323,23032,1,1,0,1,1,0,1,1,1,1,1,1
20230326,23033,1,1,1,1,1,1,1,0,1,0,0,1
20230328,23034,0,0,0,1,0,0,0,0,0,0,0,0
20230330,23035,1,0,1,1,0,1,0,0,0,1,0,0
20230402,23036,0,0,0,0,1,0,1,0,1,1,0,0
20230404,23037,0,0,0,0,1,0,0,1,0,0,1,1
20230406,23038,0,0,1,1,0,1,1,0,0,1,0,0
20230409,23039,0,0,0,0,0,0,0,1,0,0,0,1
20230411,23040,0,0,0,0,0,0,0,0,0,0,1,0
20230413,23041,0,0,0,1,0,0,0,0,0,0,0,0
20230416,23042,1,0,0,0,1,0,0,0,1,0,1,0
20230418,23043,1,0,0,0,1,0,0,1,0,0,0,1
20230420,23044,1,1,1,1,1,1,0,0,0,1,0,0
20230423,23045,0,0,0,0,0,0,1,1,1,0,1,1
20230425,23046,1,0,1,0,1,0,0,0,1,0,1,1
20230427,23047,0,1,0,1,0,0,1,1,0,0,0,1
20230430,23048,1,0,0,0,1,0,0,0,1,1,1,0
20230502,23049,1,1,1,1,1,1,1,0,1,1,0,1
20230504,23050,0,1,1,0,1,1,1,0,0,0,0,1
20230507,23051,0,0,0,0,0,0,0,0,0,0,0,0
20230509,23052,0,0,0,0,0,0,0,1,0,0,0,0
20230511,23053,0,0,0,1,0,1,0,0,0,0,0,1
20230514,23054,0,0,0,0,0,0,0,1,0,0,0,0
20230516,23055,0,0,0,0,0,0,0,1,0,0,0,1
20230518,23056,0,0,0,1,0,0,1,0,0,1,0,0
20230521,23057,1,0,0,1,1,0,1,0,1,0,1,0
20230523,23058,0,0,0,0,0,0,0,0,0,0,0,0
20230525,23059,1,1,1,0,1,1,1,0,1,1,1,0
20230528,23060,0,1,0,0,0,0,1,0,1,0,1,0
20230530,23061,0,0,0,0,0,0,0,0,0,0,0,0
20230601,23062,0,0,0,0,1,0,0,0,0,0,0,0
20230604,23063,0,0,1,1,0,1,1,1,0,1,0,1
20230606,23064,0,0,0,0,0,0,0,0,0,0,0,0
20230608,23065,1,0,0,1,1,0,1,1,0,0,0,1
20230611,23066,1,0,0,0,1,1,0,1,1,0,1,1
20230613,23067,0,1,0,1,0,0,1,0,0,1,0,0
20230615,23068,0,1,1,1,0,0,0,0,0,1,0,0
20230618,23069,1,0,0,0,0,0,1,0,0,0,0,0
20230620,23070,0,0,0,0,0,1,0,0,0,0,0,1
20230622,23071,0,0,1,1,0,0,0,1,0,1,0,0
20230625,23072,1,0,0,0,0,0,0,1,0,0,0,1
20230627,23073,1,0,0,0,1,0,0,0,1,1,1,0
20230629,23074,0,1,1,0,0,1,1,1,0,0,0,1
20230702,23075,0,0,0,0,0,0,1,0,0,0,1,0
20230704,23076,0,0,0,1,0,0,0,0,0,0,0,0
20230706,23077,0,0,0,0,1,1,0,0,1,1,1,0
20230709,23078,0,1,1,1,0,0,0,1,1,1,0,1
20230711,23079,1,0,0,0,0,0,0,1,1,0,0,0
20230713,23080,0,0,0,0,0,0,0,0,1,0,0,0
20230716,23081,1,1,1,1,0,0,1,1,1,1,1,1
20230718,23082,0,0,0,0,0,0,0,1,1,0,1,1
20230720,23083,0,0,1,1,0,1,0,0,1,1,1,0
20230723,23084,1,1,0,0,1,0,1,0,0,1,0,0
20230725,23085,0,0,0,0,0,0,0,0,1,0,0,0
20230727,23086,1,1,1,0,1,1,1,1,1,0,1,1
20230730,23087,0,0,1,0,0,1,0,0,0,0,0,1
20230801,23088,0,0,0,0,0,0,0,0,1,0,1,0
20230803,23089,1,0,1,1,1,1,0,0,1,1,1,0
20230806,23090,0,1,0,0,0,0,1,0,1,0,1,1
20230808,23091,1,1,0,0,1,0,1,0,0,0,0,0
20230810,23092,0,1,1,0,0,1,1,0,0,0,0,0
20230813,23093,1,1,0,1,1,0,1,0,1,1,1,0
20230815,23094,0,0,1,1,0,1,0,1,1,1,1,1
20230817,23095,0,0,1,0,1,0,1,0,0,0,1,0
20230820,23096,0,0,1,0,0,0,0,1,0,0,0,0
20230822,23097,1,1,1,0,1,1,1,0,1,0,1,0
20230824,23098,1,0,1,0,0,0,0,1,0,1,1,1
20230827,23099,0,1,0,1,0,1,1,0,0,1,0,0
20230829,23100,0,0,0,0,0,0,0,1,0,0,0,1
20230831,23101,0,1,0,0,0,0,1,0,1,0,1,0
20230903,23102,1,0,1,1,0,1,0,1,0,1,1,1
20230905,23103,0,0,0,1,1,0,0,0,0,1,1,0
20230907,23104,0,0,0,0,0,0,0,0,0,0,0,0
20230910,23105,1,0,0,0,1,0,0,0,0,0,0,0
20230912,23106,0,1,1,1,0,1,1,0,0,1,0,0
20230914,23107,0,0,1,0,0,1,0,1,0,0,0,1
20230917,23108,0,0,0,0,0,0,0,0,0,0,1,1
20230919,23109,0,1,1,1,0,1,1,0,0,1,0,0
20230921,23110,0,0,1,0,0,0,0,1,0,0,0,1
20230924,23111,0,1,1,1,1,1,0,1,1,0,1,1
20230926,23112,0,0,0,1,1,0,0,0,0,1,1,0
20230928,23113,0,1,0,1,1,0,1,0,0,1,1,0
20231005,23114,0,0,0,0,0,1,0,0,0,1,0,0
20231008,23115,0,0,0,0,1,0,0,0,1,0,1,0
20231010,23116,0,0,0,0,1,1,0,1,1,0,1,1
20231012,23117,0,1,0,1,0,0,1,1,1,1,1,1
20231015,23118,0,1,0,0,1,0,1,0,1,0,1,0
20231017,23119,0,1,1,0,0,1,1,1,1,0,0,1
20231019,23120,1,0,1,0,0,1,0,0,0,0,0,1
20231022,23121,0,0,0,1,0,1,0,0,0,1,1,1
20231024,23122,0,1,1,1,1,1,1,0,1,1,1,0
20231026,23123,0,0,0,0,0,0,0,0,0,0,0,0
