row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56
1_1,3,5,11,14,16,26,75,29,23,21,11,25,2,6,3,2,10
1_2,3,9,15,21,25,30,103,33,27,34,16,36,6,6,6,4,5
1_3,5,12,17,22,25,30,111,35,25,37,13,39,7,5,5,3,5
1_4,4,9,14,19,23,29,98,33,25,32,14,33,5,5,5,4,6
1_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
1_6,2,7,20,23,24,29,105,31,27,31,17,43,5,13,3,1,5
1_7,2,8,14,21,22,29,96,31,27,30,14,35,6,6,7,1,7
1_8,4,10,14,19,22,29,98,33,25,32,12,33,6,4,5,3,7
1_9,3,9,14,18,22,29,95,32,26,31,13,32,6,5,4,4,7
1_10,3,9,14,17,20,28,91,31,25,29,11,31,6,5,3,3,8
2_1,2,5,9,13,16,27,72,29,25,21,11,22,3,4,4,3,11
2_2,3,6,16,20,22,31,98,34,28,28,16,36,3,10,4,2,9
2_3,4,8,16,22,26,31,107,35,27,34,18,38,4,8,6,4,5
2_4,4,7,12,19,23,30,95,34,26,30,16,31,3,5,7,4,7
2_5,4,9,13,19,24,29,98,33,25,33,15,32,5,4,6,5,5
2_6,2,6,12,16,19,31,86,33,29,25,13,28,4,6,4,3,12
2_7,2,5,11,15,18,30,81,32,28,23,13,26,3,6,4,3,12
2_8,2,6,11,16,19,32,86,34,30,25,13,27,4,5,5,3,13
2_9,5,9,12,15,19,32,92,37,27,28,10,27,4,3,3,4,13
2_10,5,11,15,18,23,32,104,37,27,34,12,33,6,4,3,5,9
3_1,4,6,11,16,15,26,78,30,22,21,9,27,2,5,5,-1,11
3_2,2,6,15,20,24,31,98,33,29,30,18,35,4,9,5,4,7
3_3,3,9,16,21,25,30,104,33,27,34,16,37,6,7,5,4,5
3_4,4,8,13,18,23,29,95,33,25,31,15,31,4,5,5,5,6
3_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
3_6,1,4,7,16,21,28,77,29,27,25,17,23,3,3,9,5,7
3_7,1,5,7,15,20,30,78,31,29,25,15,22,4,2,8,5,10
3_8,2,6,7,15,21,31,82,33,29,27,15,22,4,1,8,6,10
3_9,4,8,10,13,18,30,83,34,26,26,10,23,4,2,3,5,12
3_10,6,11,13,17,23,30,100,36,24,34,12,30,5,2,4,6,7
4_1,4,6,12,18,18,31,89,35,27,24,12,30,2,6,6,0,13
4_2,3,9,18,21,23,31,105,34,28,32,14,39,6,9,3,2,8
4_3,4,10,17,23,25,30,109,34,26,35,15,40,6,7,6,2,5
4_4,5,9,14,20,24,30,102,35,25,33,15,34,4,5,6,4,6
4_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
4_6,5,7,15,17,23,29,96,34,24,30,16,32,2,8,2,6,6
4_7,2,5,12,16,21,28,84,30,26,26,16,28,3,7,4,5,7
4_8,4,7,12,16,24,29,92,33,25,31,17,28,3,5,4,8,5
4_9,2,6,11,15,21,27,82,29,25,27,15,26,4,5,4,6,6
4_10,3,7,11,16,20,26,83,29,23,27,13,27,4,4,5,4,6
5_1,4,9,13,19,23,30,98,34,26,32,14,32,5,4,6,4,7
5_2,5,10,21,24,27,32,119,37,27,37,17,45,5,11,3,3,5
5_3,6,11,18,23,26,30,114,36,24,37,15,41,5,7,5,3,4
5_4,5,10,15,21,25,30,106,35,25,35,15,36,5,5,6,4,5
5_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
5_6,2,6,14,16,20,25,83,27,23,26,14,30,4,8,2,4,5
5_7,2,7,11,13,17,25,75,27,23,24,10,24,5,4,2,4,8
5_8,2,6,10,13,18,27,76,29,25,24,12,23,4,4,3,5,9
5_9,0,5,6,11,17,26,65,26,26,22,12,17,5,1,5,6,9
5_10,2,7,9,14,20,27,79,29,25,27,13,23,5,2,5,6,7
6_1,3,2,8,12,17,29,71,32,26,19,15,20,-1,6,4,5,12
6_2,3,5,12,18,23,30,91,33,27,28,18,30,2,7,6,5,7
6_3,4,10,15,20,25,31,105,35,27,35,15,35,6,5,5,5,6
6_4,4,8,14,18,24,29,97,33,25,32,16,32,4,6,4,6,5
6_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
6_6,2,7,15,19,22,26,91,28,24,29,15,34,5,8,4,3,4
6_7,3,7,13,15,22,30,90,33,27,29,15,28,4,6,2,7,8
6_8,3,10,13,19,24,29,98,32,26,34,14,32,7,3,6,5,5
6_9,2,7,12,16,22,30,89,32,28,29,15,28,5,5,4,6,8
6_10,3,8,12,15,22,29,89,32,26,30,14,27,5,4,3,7,7
7_1,6,9,13,18,21,31,98,37,25,30,12,31,3,4,5,3,10
7_2,4,7,16,22,24,31,104,35,27,31,17,38,3,9,6,2,7
7_3,4,9,15,20,25,31,104,35,27,34,16,35,5,6,5,5,6
7_4,4,8,14,19,23,29,97,33,25,31,15,33,4,6,5,4,6
7_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
7_6,1,6,13,21,25,29,95,30,28,31,19,34,5,7,8,4,4
7_7,1,5,10,16,23,27,82,28,26,28,18,26,4,5,6,7,4
7_8,1,6,9,16,23,29,84,30,28,29,17,25,5,3,7,7,6
7_9,2,6,8,16,21,27,80,29,25,27,15,24,4,2,8,5,6
7_10,5,9,11,18,23,29,95,34,24,32,14,29,4,2,7,5,6
8_1,4,9,13,19,19,28,92,32,24,28,10,32,5,4,6,0,9
8_2,3,6,15,22,25,31,102,34,28,31,19,37,3,9,7,3,6
8_3,4,8,15,22,26,31,106,35,27,34,18,37,4,7,7,4,5
8_4,4,7,13,19,23,29,95,33,25,30,16,32,3,6,6,4,6
8_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
8_6,2,5,12,20,28,30,97,32,28,33,23,32,3,7,8,8,2
8_7,0,2,8,10,17,28,65,28,28,19,15,18,2,6,2,7,11
8_8,1,4,10,11,18,29,73,30,28,22,14,21,3,6,1,7,11
8_9,2,5,10,12,18,29,76,31,27,23,13,22,3,5,2,6,11
8_10,3,8,12,15,22,29,89,32,26,30,14,27,5,4,3,7,7
9_1,5,8,14,18,22,29,96,34,24,30,14,32,3,6,4,4,7
9_2,4,9,19,23,25,31,111,35,27,34,16,42,5,10,4,2,6
9_3,4,10,15,21,25,30,105,34,26,35,15,36,6,5,6,4,5
9_4,3,8,13,19,24,29,96,32,26,32,16,32,5,5,6,5,5
9_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
9_6,2,4,12,19,22,28,87,30,26,26,18,31,2,8,7,3,6
9_7,1,4,8,10,15,26,64,27,25,19,11,18,3,4,2,5,11
9_8,2,5,8,12,19,26,72,28,24,24,14,20,3,3,4,7,7
9_9,3,7,10,15,22,27,84,30,24,29,15,25,4,3,5,7,5
9_10,5,9,13,16,23,28,94,33,23,32,14,29,4,4,3,7,5
10_1,7,9,15,19,21,29,100,36,22,30,12,34,2,6,4,2,8
10_2,5,8,17,22,23,30,105,35,25,31,15,39,3,9,5,1,7
10_3,3,9,16,22,26,30,106,33,27,35,17,38,6,7,6,4,4
10_4,3,8,13,19,24,29,96,32,26,32,16,32,5,5,6,5,5
10_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
10_6,2,8,15,18,22,27,92,29,25,30,14,33,6,7,3,4,5
10_7,0,4,11,17,19,26,77,26,26,23,15,28,4,7,6,2,7
10_8,1,6,11,15,19,28,80,29,27,25,13,26,5,5,4,4,9
10_9,3,9,13,16,19,30,90,33,27,28,10,29,6,4,3,3,11
10_10,3,9,14,17,22,29,94,32,26,31,13,31,6,5,3,5,7
11_1,2,5,12,13,16,27,75,29,25,21,11,25,3,7,1,3,11
11_2,2,7,15,19,22,31,96,33,29,29,15,34,5,8,4,3,9
11_3,3,10,14,20,24,30,101,33,27,34,14,34,7,4,6,4,6
11_4,3,7,13,18,23,28,92,31,25,30,16,31,4,6,5,5,5
11_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4
11_6,3,10,15,23,26,33,110,36,30,36,16,38,7,5,8,3,7
11_7,4,7,18,20,24,30,103,34,26,31,17,38,3,11,2,4,6
11_8,4,7,16,18,22,29,96,33,25,29,15,34,3,9,2,4,7
11_9,3,5,14,17,22,29,90,32,26,27,17,31,2,9,3,5,7
11_10,4,8,15,18,22,29,96,33,25,30,14,33,4,7,3,4,7
12_1,3,4,11,13,17,27,75,30,24,21,13,24,1,7,2,4,10
12_2,4,6,18,20,23,32,103,36,28,29,17,38,2,12,2,3,9
12_3,4,10,17,21,26,31,109,35,27,36,16,38,6,7,4,5,5
12_4,4,8,13,17,22,29,93,33,25,30,14,30,4,5,4,5,7
12_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
12_6,1,5,15,19,24,28,92,29,27,29,19,34,4,10,4,5,4
12_7,1,5,9,12,20,28,75,29,27,25,15,21,4,4,3,8,8
12_8,2,5,8,13,21,28,77,30,26,26,16,21,3,3,5,8,7
12_9,4,6,10,14,23,29,86,33,25,29,17,24,2,4,4,9,6
12_10,3,6,9,14,20,28,80,31,25,26,14,23,3,3,5,6,8
13_1,5,5,9,15,20,26,80,31,21,25,15,24,0,4,6,5,6
13_2,2,5,10,14,20,29,80,31,27,25,15,24,3,5,4,6,9
13_3,3,11,16,20,25,31,106,34,28,36,14,36,8,5,4,5,6
13_4,4,9,13,18,23,28,95,32,24,32,14,31,5,4,5,5,5
13_5,4,9,14,18,23,29,97,33,25,32,14,32,5,5,4,5,6
13_6,2,7,18,22,25,29,103,31,27,32,18,40,5,11,4,3,4
13_7,2,5,11,14,17,27,76,29,25,22,12,25,3,6,3,3,10
13_8,3,7,12,16,21,29,88,32,26,28,14,28,4,5,4,5,8
13_9,4,7,11,17,21,31,91,35,27,28,14,28,3,4,6,4,10
13_10,5,9,12,16,22,29,93,34,24,31,13,28,4,3,4,6,7
14_1,3,6,12,15,17,28,81,31,25,23,11,27,3,6,3,2,11
14_2,2,7,15,18,23,31,96,33,29,30,16,33,5,8,3,5,8
14_3,4,11,17,22,26,31,111,35,27,37,15,39,7,6,5,4,5
14_4,3,7,12,18,23,29,92,32,26,30,16,30,4,5,6,5,6
14_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
14_6,0,7,20,25,27,30,109,30,30,34,20,45,7,13,5,2,3
14_7,1,4,12,15,23,28,83,29,27,27,19,27,3,8,3,8,5
14_8,1,5,7,11,21,29,74,30,28,26,16,18,4,2,4,10,8
14_9,1,6,10,12,19,28,76,29,27,25,13,22,5,4,2,7,9
14_10,3,9,12,16,21,28,89,31,25,30,12,28,6,3,4,5,7
15_1,3,7,10,12,13,25,70,28,22,20,6,22,4,3,2,1,12
15_2,2,7,12,15,20,28,84,30,26,27,13,27,5,5,3,5,8
15_3,4,9,14,21,25,30,103,34,26,34,16,35,5,5,7,4,5
15_4,4,8,12,19,23,29,95,33,25,31,15,31,4,4,7,4,6
15_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
15_6,4,6,16,21,23,30,100,34,26,29,17,37,2,10,5,2,7
15_7,2,5,8,12,17,26,70,28,24,22,12,20,3,3,4,5,9
15_8,2,5,7,12,19,29,74,31,27,24,14,19,3,2,5,7,10
15_9,2,7,9,13,19,29,79,31,27,26,12,22,5,2,4,6,10
15_10,1,7,9,12,21,29,79,30,28,28,14,21,6,2,3,9,8
16_1,4,7,11,19,22,29,92,33,25,29,15,30,3,4,8,3,7
16_2,5,9,17,21,25,32,109,37,27,34,16,38,4,8,4,4,7
16_3,6,11,17,22,27,30,113,36,24,38,16,39,5,6,5,5,3
16_4,4,9,15,20,24,30,102,34,26,33,15,35,5,6,5,4,6
16_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
16_6,4,7,13,17,25,27,93,31,23,32,18,30,3,6,4,8,2
16_7,0,4,11,16,24,28,83,28,28,28,20,27,4,7,5,8,4
16_8,2,7,8,15,24,28,84,30,26,31,17,23,5,1,7,9,4
16_9,3,8,12,17,23,28,91,31,25,31,15,29,5,4,5,6,5
16_10,3,9,11,17,24,28,92,31,25,33,15,28,6,2,6,7,4
17_1,7,7,12,17,19,27,89,34,20,26,12,29,0,5,5,2,8
17_2,5,6,14,22,24,30,101,35,25,30,18,36,1,8,8,2,6
17_3,5,10,16,23,26,30,110,35,25,36,16,39,5,6,7,3,4
17_4,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
17_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
17_6,1,2,13,18,24,29,87,30,28,26,22,31,1,11,5,6,5
17_7,1,3,10,12,21,30,77,31,29,24,18,22,2,7,2,9,9
17_8,3,6,8,12,19,30,78,33,27,25,13,20,3,2,4,7,11
17_9,3,5,9,13,19,30,79,33,27,24,14,22,2,4,4,6,11
17_10,6,9,13,17,23,30,98,36,24,32,14,30,3,4,4,6,7
18_1,3,6,10,15,17,28,79,31,25,23,11,25,3,4,5,2,11
18_2,3,8,14,19,21,30,95,33,27,29,13,33,5,6,5,2,9
18_3,5,10,16,21,25,30,107,35,25,35,15,37,5,6,5,4,5
18_4,4,8,13,18,23,29,95,33,25,31,15,31,4,5,5,5,6
18_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
18_6,0,5,10,17,24,29,85,29,29,29,19,27,5,5,7,7,5
18_7,0,5,8,13,19,28,73,28,28,24,14,21,5,3,5,6,9
18_8,2,6,8,14,21,28,79,30,26,27,15,22,4,2,6,7,7
18_9,4,9,11,15,23,29,91,33,25,32,14,26,5,2,4,8,6
18_10,4,11,13,17,23,29,97,33,25,34,12,30,7,2,4,6,6
19_1,3,7,12,19,23,29,93,32,26,30,16,31,4,5,7,4,6
19_2,4,6,13,19,24,30,96,34,26,30,18,32,2,7,6,5,6
19_3,6,9,16,22,26,30,109,36,24,35,17,38,3,7,6,4,4
19_4,4,8,14,19,24,29,98,33,25,32,16,33,4,6,5,5,5
19_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
19_6,2,6,13,15,21,28,85,30,26,27,15,28,4,7,2,6,7
19_7,1,4,8,10,16,29,68,30,28,20,12,18,3,4,2,6,13
19_8,2,5,8,12,21,31,79,33,29,26,16,20,3,3,4,9,10
19_9,2,5,7,12,18,31,75,33,29,23,13,19,3,2,5,6,13
19_10,2,7,10,15,20,31,85,33,29,27,13,25,5,3,5,5,11
20_1,7,9,12,17,20,28,93,35,21,29,11,29,2,3,5,3,8
20_2,4,7,17,21,23,32,104,36,28,30,16,38,3,10,4,2,9
20_3,3,10,16,21,26,32,108,35,29,36,16,37,7,6,5,5,6
20_4,4,9,14,20,24,30,101,34,26,33,15,34,5,5,6,4,6
20_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
20_6,3,8,12,16,23,27,89,30,24,31,15,28,5,4,4,7,4
20_7,1,5,13,14,19,25,77,26,24,24,14,27,4,8,1,5,6
20_8,1,6,11,13,20,26,77,27,25,26,14,24,5,5,2,7,6
20_9,2,7,12,14,19,27,81,29,25,26,12,26,5,5,2,5,8
20_10,3,9,15,18,21,28,94,31,25,30,12,33,6,6,3,3,7
21_1,5,5,11,14,17,28,80,33,23,22,12,25,0,6,3,3,11
21_2,3,5,17,22,26,32,105,35,29,31,21,39,2,12,5,4,6
21_3,3,9,17,23,27,31,110,34,28,36,18,40,6,8,6,4,4
21_4,4,8,13,19,24,29,97,33,25,32,16,32,4,5,6,5,5
21_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
21_6,0,6,17,18,22,27,90,27,27,28,16,35,6,11,1,4,5
21_7,1,4,13,18,22,25,83,26,24,26,18,31,3,9,5,4,3
21_8,2,6,14,19,23,27,91,29,25,29,17,33,4,8,5,4,4
21_9,3,8,12,15,24,29,91,32,26,32,16,27,5,4,3,9,5
21_10,4,9,13,16,22,29,93,33,25,31,13,29,5,4,3,6,7
22_1,4,6,11,14,18,28,81,32,24,24,12,25,2,5,3,4,10
22_2,3,6,11,16,21,31,88,34,28,27,15,27,3,5,5,5,10
22_3,3,9,16,21,25,30,104,33,27,34,16,37,6,7,5,4,5
22_4,3,7,12,18,23,29,92,32,26,30,16,30,4,5,6,5,6
22_5,4,9,13,19,24,28,97,32,24,33,15,32,5,4,6,5,4
22_6,1,2,7,14,21,28,73,29,27,23,19,21,1,5,7,7,7
22_7,2,3,10,15,18,29,77,31,27,21,15,25,1,7,5,3,11
22_8,2,3,8,14,18,29,74,31,27,21,15,22,1,5,6,4,11
22_9,2,4,7,13,18,28,72,30,26,22,14,20,2,3,6,5,10
22_10,3,7,11,15,20,28,84,31,25,27,13,26,4,4,4,5,8
23_1,2,4,10,15,20,25,76,27,23,24,16,25,2,6,5,5,5
23_2,2,6,13,16,22,30,89,32,28,28,16,29,4,7,3,6,8
23_3,3,9,16,22,26,30,106,33,27,35,17,38,6,7,6,4,4
23_4,4,8,13,20,24,29,98,33,25,32,16,33,4,5,7,4,5
23_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
23_6,1,5,8,15,22,29,80,30,28,27,17,23,4,3,7,7,7
23_7,1,3,7,12,20,29,72,30,28,23,17,19,2,4,5,8,9
23_8,2,5,8,14,22,29,80,31,27,27,17,22,3,3,6,8,7
23_9,2,8,12,15,21,30,88,32,28,29,13,27,6,4,3,6,9
23_10,4,9,15,17,21,31,97,35,27,30,12,32,5,6,2,4,10
24_1,3,6,10,15,17,29,80,32,26,23,11,25,3,4,5,2,12
24_2,3,5,12,19,21,30,90,33,27,26,16,31,2,7,7,2,9
24_3,4,10,16,22,26,30,108,34,26,36,16,38,6,6,6,4,4
24_4,4,8,13,19,23,30,97,34,26,31,15,32,4,5,6,4,7
24_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
24_6,2,5,13,20,23,27,90,29,25,28,18,33,3,8,7,3,4
24_7,2,5,11,15,18,27,78,29,25,23,13,26,3,6,4,3,9
24_8,3,7,10,16,18,28,82,31,25,25,11,26,4,3,6,2,10
24_9,3,6,12,16,20,27,84,30,24,26,14,28,3,6,4,4,7
24_10,5,7,12,15,21,26,86,31,21,28,14,27,2,5,3,6,5
25_1,3,7,10,18,20,28,86,31,25,27,13,28,4,3,8,2,8
25_2,4,7,14,18,21,30,94,34,26,28,14,32,3,7,4,3,9
25_3,6,13,17,22,26,31,115,37,25,39,13,39,7,4,5,4,5
25_4,5,8,13,18,23,29,96,34,24,31,15,31,3,5,5,5,6
25_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
25_6,1,5,7,14,18,26,71,27,25,23,13,21,4,2,7,4,8
25_7,2,7,8,13,20,26,76,28,24,27,13,21,5,1,5,7,6
25_8,2,7,8,14,20,28,79,30,26,27,13,22,5,1,6,6,8
25_9,1,7,8,12,19,28,75,29,27,26,12,20,6,1,4,7,9
