Date,red1,red2,red3,red4,red5,red6,sum16,sum25,sum34,gap56,row1,ball,less5,less8,gap25,gap16,gap34,less10,gap45,gap12,less9,row2,row3,row4,ball_column,blue_sort
20220922,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,3
20220925,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1
20220927,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
20220929,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
20221006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,2
20221009,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,3
20221011,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,3
20221013,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,2
20221016,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,2
20221018,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,3
20221020,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,3
20221023,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,3
20221025,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,2
20221027,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,3
20221030,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,2
20221101,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2
20221103,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,3
20221106,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
20221108,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,3
20221110,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,3
20221113,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1
20221115,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1
20221117,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
20221120,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,3
20221122,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,2
20221124,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,2
20221127,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,3
20221129,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,2
20221201,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,3
20221204,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,2
20221206,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,3
20221208,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
20221211,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1
20221213,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,3
20221215,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1
20221218,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,2
20221220,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,2
20221222,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,2
20221225,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,3
20221227,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1
20221229,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,3
20230101,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,2
20230103,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,3
20230105,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,3
20230108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,3
20230110,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1
20230112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,2
20230115,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,3
20230117,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,2
20230129,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1
20230131,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,2
20230202,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,2
20230205,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,2
20230207,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2
20230209,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,2
20230212,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,3
20230214,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,2
20230216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,2
20230219,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,3
20230221,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,3
20230223,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,3
20230226,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,3
20230228,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,2
20230302,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,3
20230305,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,3
20230307,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,2
20230309,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,2
20230312,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,3
20230314,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,3
20230316,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,3
20230319,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2
20230321,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,2
20230323,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,3
20230326,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,3
20230328,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,3
20230330,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,3
20230402,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1
20230404,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,2
20230406,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,3
20230409,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1
20230411,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,3
20230413,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,2
20230416,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,3
20230418,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,3
20230420,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,3
20230423,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,2
20230425,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,2
20230427,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,2
20230430,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,3
20230502,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,2
20230504,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,2
20230507,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,2
20230509,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,2
20230511,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,3
20230514,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
20230516,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,2
20230518,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,2
20230521,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,2
20230523,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1
20230525,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,2
20230528,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,3
20230530,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,3
20230601,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
20230604,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20230606,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,2
20230608,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,3
20230611,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,3
20230613,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,2
20230615,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,2
20230618,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,2
20230620,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1
20230622,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2
20230625,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,2
20230627,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,2
20230629,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,2
20230702,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,3
20230704,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,2
20230706,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,3
20230709,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,3
20230711,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1
20230713,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,3
20230716,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,2
20230718,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,3
20230720,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1
20230723,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,2
20230725,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1
20230727,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,3
20230730,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,3
20230801,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,2
20230803,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,3
20230806,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,3
20230808,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,3
20230810,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,2
20230813,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,3
20230815,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3
20230817,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,3
20230820,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,3
20230822,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
20230824,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,2
20230827,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,3
20230829,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,3
20230831,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,3
20230903,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,2
20230905,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,3
20230907,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1
20230910,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,3
20230912,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3
20230914,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,3
20230917,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,2
20230919,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,2
20230921,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,2
20230924,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,2
20230926,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,2
20230928,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,2
20231005,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,3
20231008,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,3
20231010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2
20231012,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,3
20231015,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,2
20231017,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,2
20231019,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,3
20231022,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,2
20231024,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2
20231026,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,2
20231029,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,2
20231031,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,2
20231102,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,3
20231105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1
20231107,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,2
20231109,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1
20231112,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,2
20231114,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20231116,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1
20231119,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,3
