Date,Game,sum16,sum34,row2,gap25,sum25,gap16,gap12,gap23,gap56,gap34,row3,gap45,blue_sort,less9,less8,ball,less5,less10,ball_column,row1,row4
20201222,20130,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1
20201224,20131,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1
20201227,20132,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
20201229,20133,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1
20201231,20134,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1
20210103,21001,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
20210105,21002,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0
20210107,21003,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
20210110,21004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1
20210112,21005,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1
20210114,21006,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1
20210117,21007,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1
20210119,21008,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1
20210121,21009,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1
20210124,21010,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1
20210126,21011,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1
20210128,21012,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0
20210131,21013,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0
20210202,21014,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0
20210204,21015,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1
20210207,21016,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1
20210221,21017,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1
20210223,21018,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1
20210225,21019,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0
20210228,21020,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
20210302,21021,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1
20210304,21022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
20210307,21023,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1
20210309,21024,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1
20210311,21025,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
20210314,21026,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
20210316,21027,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0
20210318,21028,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
20210321,21029,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1
20210323,21030,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1
20210325,21031,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
20210328,21032,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0
20210330,21033,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1
20210401,21034,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0
20210404,21035,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0
20210406,21036,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
20210408,21037,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0
20210411,21038,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
20210413,21039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
20210415,21040,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1
20210418,21041,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1
20210420,21042,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0
20210422,21043,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
20210425,21044,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0
20210427,21045,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1
20210429,21046,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
20210502,21047,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1
20210504,21048,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1
20210506,21049,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1
20210509,21050,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1
20210511,21051,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0
20210513,21052,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1
20210516,21053,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
20210518,21054,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1
20210520,21055,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
20210523,21056,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1
20210525,21057,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1
20210527,21058,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
20210530,21059,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
20210601,21060,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1
20210603,21061,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
20210606,21062,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0
20210608,21063,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
20210610,21064,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0
20210613,21065,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1
20210615,21066,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1
20210617,21067,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1
20210620,21068,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1
20210622,21069,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0
20210624,21070,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1
20210627,21071,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
20210629,21072,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1
20210701,21073,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1
20210704,21074,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20210706,21075,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0
20210708,21076,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1
20210711,21077,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
20210713,21078,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0
20210715,21079,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1
20210718,21080,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0
20210720,21081,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1
20210722,21082,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
20210725,21083,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1
20210727,21084,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1
20210729,21085,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
20210801,21086,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1
20210803,21087,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0
20210805,21088,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0
20210808,21089,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1
20210810,21090,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1
20210812,21091,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1
20210815,21092,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1
20210817,21093,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1
20210819,21094,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1
20210822,21095,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
20210824,21096,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
20210826,21097,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1
20210829,21098,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0
20210831,21099,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0
20210902,21100,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1
20210905,21101,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
20210907,21102,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1
20210909,21103,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0
20210912,21104,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1
20210914,21105,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
20210916,21106,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1
20210919,21107,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
20210921,21108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
20210923,21109,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0
20210926,21110,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1
20210928,21111,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1
20210930,21112,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1
20211005,21113,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1
20211007,21114,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0
20211010,21115,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0
20211012,21116,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
20211014,21117,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0
20211017,21118,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
20211019,21119,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1
20211021,21120,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1
20211024,21121,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
20211026,21122,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1
20211028,21123,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1
20211031,21124,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1
20211102,21125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
20211104,21126,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1
20211107,21127,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1
20211109,21128,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1
20211111,21129,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1
20211114,21130,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1
20211116,21131,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0
20211118,21132,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1
20211121,21133,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1
20211123,21134,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1
20211125,21135,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0
20211128,21136,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1
20211130,21137,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0
20211202,21138,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1
20211205,21139,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
20211207,21140,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1
20211209,21141,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1
20211212,21142,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1
20211214,21143,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1
20211216,21144,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
20211219,21145,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
20211221,21146,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1
20211223,21147,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1
20211226,21148,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1
20211228,21149,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1
20211230,21150,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0
20220102,22001,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1
20220104,22002,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
20220106,22003,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
20220109,22004,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
20220111,22005,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1
20220113,22006,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1
20220116,22007,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1
20220118,22008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
20220120,22009,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
20220123,22010,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20220125,22011,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
20220127,22012,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
20220208,22013,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1
20220210,22014,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0
20220213,22015,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0
20220215,22016,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
20220217,22017,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0
20220220,22018,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0
20220222,22019,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1
20220224,22020,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0
20220227,22021,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1
20220301,22022,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0
20220303,22023,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1
20220306,22024,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
20220308,22025,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1
