Date,b1,1,2,3,4,5,6,b2,1,2,3,4,5,6
20231008,6/33,2/15,4/21,5/28,5/27,4/18,3/14,6/26,4/11,4/17,4/20,3/16,2/13,1/9
20231005,6/33,3/14,5/22,6/28,6/28,4/20,1/14,4/26,2/14,3/16,4/18,4/19,3/18,3/14
20230928,6/33,3/14,3/21,4/28,4/24,2/15,1/7,5/26,3/15,3/16,2/18,2/13,2/12,1/7
20230926,6/33,2/11,4/22,5/28,6/26,3/13,0/2,5/29,2/12,3/17,4/19,4/16,3/12,2/8
20230924,6/33,3/11,5/23,5/28,5/27,2/19,1/11,6/27,5/16,5/17,4/17,1/17,0/16,1/13
20230921,6/33,0/1,1/9,2/21,3/17,1/5,1/1,5/22,2/7,4/11,2/12,2/12,1/9,2/6
20230919,6/33,4/14,5/22,6/28,6/28,1/13,0/7,6/27,4/16,5/19,4/15,3/14,1/11,1/9
20230917,6/33,4/13,4/20,5/27,4/26,0/7,0/4,6/27,5/20,5/22,3/19,2/15,1/11,0/6
20230914,6/33,2/16,3/22,5/27,3/22,1/9,1/3,5/26,2/14,4/17,2/16,1/12,0/8,1/6
20230912,6/33,3/16,5/21,6/28,6/27,3/21,1/5,5/27,4/14,5/20,4/18,3/17,1/14,1/10
20230910,6/33,3/15,2/21,4/28,2/27,3/19,1/3,5/26,3/17,2/18,1/16,1/17,2/14,2/10
20230907,6/33,1/12,1/17,5/28,6/26,5/21,0/2,5/28,0/12,1/13,2/18,5/22,4/16,4/12
20230905,6/33,3/13,3/21,6/28,6/28,4/22,3/10,4/30,3/14,3/18,3/22,2/23,2/19,1/14
20230903,6/33,2/11,4/22,5/28,5/27,3/20,1/5,5/27,3/14,2/18,4/22,4/20,3/17,2/13
20230831,6/33,3/15,4/23,5/28,5/28,3/19,0/4,5/26,3/15,4/21,4/21,3/18,3/15,1/11
20230829,6/33,3/12,5/21,6/28,6/27,3/19,0/5,6/27,6/19,6/21,6/21,3/16,2/11,0/8
20230827,6/33,2/13,4/23,5/28,5/27,3/21,2/11,3/25,1/12,1/15,2/18,1/18,1/14,2/11
20230824,6/33,3/13,5/23,5/28,5/28,3/20,1/12,3/24,1/13,3/16,2/19,2/18,2/14,2/11
20230822,6/33,3/14,3/23,5/28,5/28,3/15,1/6,2/25,1/14,0/17,1/18,1/13,1/10,1/7
20230820,6/33,2/16,3/22,4/28,5/24,4/14,3/5,6/25,3/13,4/18,3/17,3/13,3/10,3/7
20230817,6/33,2/12,5/23,6/28,5/28,1/8,0/3,6/29,5/16,6/20,6/19,3/13,1/10,0/6
20230815,6/33,4/15,4/23,5/28,6/27,2/14,2/8,5/29,2/18,3/24,3/19,3/15,3/11,2/7
20230813,6/33,1/14,3/23,5/28,5/27,5/13,1/5,6/29,5/23,5/24,5/21,4/17,4/12,2/6
20230810,6/33,2/14,3/23,4/28,3/28,3/14,2/5,5/27,2/20,3/22,3/19,3/13,3/12,4/10
20230808,6/33,0/15,3/23,5/28,5/28,6/18,2/5,6/25,3/16,4/17,4/17,5/16,3/12,2/9
20230806,6/33,3/15,2/21,3/25,3/23,3/12,0/3,4/25,1/13,1/17,1/15,3/12,3/10,3/8
20230803,6/33,2/13,3/22,5/28,4/17,3/8,1/3,6/26,3/15,5/17,4/17,4/16,4/12,2/7
20230801,6/33,2/16,2/22,3/26,3/20,2/5,2/3,6/29,4/19,3/18,3/17,3/13,3/11,4/8
20230730,6/33,3/16,4/21,4/28,3/23,1/6,1/3,5/26,3/16,3/17,3/17,2/13,2/10,2/8
20230727,6/33,3/15,3/18,2/15,2/15,3/11,1/2,5/25,3/14,4/15,3/13,2/14,3/9,3/8
20230725,5/31,1/11,1/9,2/12,0/8,2/12,1/1,4/25,1/12,1/11,1/11,2/10,1/10,2/9
20230723,6/33,4/17,5/21,6/25,4/22,1/13,0/4,4/26,3/12,4/17,3/16,1/14,1/10,1/9
20230720,6/33,3/15,5/23,6/28,3/15,1/4,0/2,5/25,3/13,4/17,3/13,3/11,2/9,1/7
20230718,6/33,1/11,3/21,6/28,5/26,2/12,0/3,3/27,0/13,1/17,3/19,3/18,2/13,2/11
20230716,6/33,2/13,4/23,4/28,5/26,4/21,1/9,5/27,2/15,2/18,3/20,4/19,3/18,2/13
20230713,6/33,3/7,3/21,3/28,3/25,2/15,0/2,5/26,3/9,2/12,2/13,2/15,1/12,1/8
20230711,6/33,3/10,6/22,6/28,6/27,2/18,0/8,4/24,3/11,3/16,3/15,1/13,1/9,1/7
20230709,4/22,1/5,3/12,1/9,1/7,0/2,0/1,4/24,2/13,2/11,1/13,2/11,2/10,2/7
20230706,6/33,0/5,2/18,6/26,6/26,3/17,1/5,4/25,1/13,1/16,3/16,3/14,3/15,2/10
20230704,6/33,2/10,6/21,6/28,4/26,4/19,0/5,4/26,3/15,4/16,3/18,3/17,1/12,1/10
20230702,6/33,0/8,2/21,4/25,6/28,6/20,4/12,5/29,0/8,0/13,2/18,2/20,5/20,3/13
20230629,6/33,2/9,6/20,5/28,5/27,3/22,1/13,5/25,2/11,3/12,3/13,4/17,4/18,2/15
20230627,6/33,2/9,3/22,4/27,3/28,4/20,1/6,4/24,3/9,2/13,2/17,1/16,1/11,1/8
20230625,6/33,3/14,5/24,4/28,4/27,2/20,1/8,5/26,3/11,4/18,2/17,2/16,1/9,1/6
20230622,6/33,1/11,4/22,6/28,6/27,4/19,1/7,5/28,3/13,4/19,5/22,3/15,3/15,1/10
20230620,6/33,2/9,2/21,3/28,2/26,3/14,3/3,6/27,2/15,2/18,1/18,2/15,3/11,3/9
20230618,6/33,1/10,5/22,6/28,6/28,5/19,0/3,5/27,3/13,4/17,5/18,5/18,2/15,1/9
20230615,6/33,1/9,4/21,5/28,5/28,4/21,2/13,5/26,2/12,2/15,3/19,3/19,4/19,5/16
20230613,6/33,2/7,3/21,3/25,3/28,3/19,2/10,4/24,3/7,2/11,2/15,1/15,1/13,1/10
20230611,6/33,4/13,4/22,4/28,5/28,2/20,2/8,6/28,4/12,4/15,4/19,4/17,3/13,2/11
20230608,6/33,1/9,4/22,4/28,4/28,3/18,2/11,5/26,2/14,2/16,2/17,3/17,3/14,3/11
20230606,6/33,3/12,5/21,5/25,4/24,2/20,0/4,6/26,4/13,4/14,5/16,4/14,1/12,0/10
20230604,6/33,2/11,4/20,5/20,4/13,3/10,0/3,5/24,2/14,4/16,4/14,4/11,2/9,1/6
20230601,6/33,0/10,2/20,5/28,5/27,4/20,3/9,3/27,0/11,0/14,2/18,2/19,2/13,3/11
20230530,6/33,5/13,4/20,5/28,1/16,0/2,0/2,6/27,5/16,5/19,5/19,3/14,1/10,0/7
20230528,6/33,2/12,4/22,5/28,6/27,2/9,1/3,4/27,3/18,3/20,2/14,1/10,1/8,1/6
20230525,6/33,3/16,4/21,4/27,3/20,3/11,1/2,6/28,4/17,2/17,2/14,2/13,3/11,3/9
20230523,6/33,1/13,2/20,5/28,5/26,4/20,3/8,5/28,2/9,3/15,4/15,3/19,2/11,2/7
20230521,6/33,3/15,4/20,4/28,3/23,2/11,1/3,5/27,4/18,4/20,2/17,1/15,2/13,2/11
20230518,6/33,3/15,5/22,5/28,5/27,0/11,1/4,6/27,3/17,5/21,5/18,4/17,1/12,2/9
20230516,6/33,2/13,3/21,5/28,4/27,3/15,1/3,6/27,2/9,2/14,3/18,2/16,2/9,1/6
20230514,6/33,4/11,5/21,6/28,5/26,2/22,0/4,5/27,4/14,4/19,4/20,4/20,2/16,1/11
20230511,6/33,2/12,3/21,4/25,3/10,1/3,0/3,5/26,3/17,3/18,3/13,3/10,2/6,1/5
20230509,6/33,6/18,6/24,4/25,1/17,0/11,0/5,6/29,6/22,3/19,1/16,1/14,1/12,0/10
20230507,6/33,0/7,1/22,4/24,3/8,4/6,2/2,6/21,0/13,2/11,3/8,3/6,4/6,3/4
20230504,6/33,3/14,6/22,5/26,4/23,0/9,0/3,4/26,3/17,3/17,2/14,0/11,0/9,0/7
20230502,6/33,3/15,5/24,6/28,6/28,3/19,1/8,5/26,3/16,4/18,4/18,4/16,4/16,2/11
20230430,6/33,2/10,3/21,5/28,4/25,3/17,1/11,4/26,2/12,2/16,2/16,2/15,1/13,1/12
20230427,6/33,1/4,3/20,4/24,4/23,2/17,3/10,6/24,3/10,3/11,3/14,2/14,2/14,3/12
20230425,6/33,0/2,3/20,6/27,6/28,4/17,3/8,6/21,2/6,4/9,4/13,4/12,4/12,2/7
20230423,6/33,2/12,4/22,6/28,5/27,4/20,2/12,6/25,3/13,3/15,4/17,5/18,2/14,2/12
20230420,6/33,2/10,4/21,5/27,5/25,2/9,0/3,5/26,3/10,4/14,3/17,4/16,2/14,2/10
20230418,6/33,3/15,4/20,6/27,5/25,4/20,0/7,5/26,4/16,4/17,5/18,4/19,3/15,2/13
20230416,6/33,0/4,2/18,6/27,6/28,5/19,2/11,5/26,1/10,3/14,3/16,4/18,3/15,2/13
20230413,6/33,3/11,4/19,5/27,4/23,0/11,0/2,5/28,4/10,4/13,4/17,3/16,0/12,0/8
20230411,6/33,1/10,3/19,5/26,2/15,2/5,0/2,4/25,0/11,2/15,2/14,3/13,3/11,1/9
20230409,6/33,4/13,4/16,2/20,3/19,0/9,0/2,3/26,3/13,2/13,1/15,1/12,1/11,0/9
20230406,6/33,4/17,3/17,3/23,2/18,2/14,2/5,3/25,1/15,1/16,1/14,2/13,2/12,2/10
20230404,6/33,1/17,1/21,4/24,5/22,5/14,1/3,5/24,1/16,2/14,3/15,5/11,4/10,3/8
20230402,6/33,2/14,4/22,5/26,6/26,6/21,2/8,4/23,2/11,3/13,4/16,4/17,4/15,4/13
20230330,6/33,4/15,4/22,4/28,3/25,1/20,2/14,5/28,2/14,3/17,3/18,1/15,1/14,2/14
20230328,6/33,5/14,6/23,5/27,4/26,0/8,0/3,4/27,4/19,4/20,3/18,0/11,0/9,0/6
20230326,6/33,3/17,5/24,6/28,6/27,3/17,3/13,4/27,3/18,4/20,3/19,2/17,1/13,0/9
20230323,6/33,1/13,3/23,5/28,5/27,4/20,2/7,3/25,2/17,2/20,2/20,2/16,1/10,2/8
20230321,6/33,0/4,2/24,4/28,5/27,4/21,4/12,4/24,1/8,1/12,2/17,3/17,2/15,3/12
20230319,6/33,4/16,4/24,4/28,4/27,3/21,2/10,6/27,3/14,4/19,4/22,4/22,3/16,2/12
20230316,6/33,3/16,4/24,5/28,4/27,3/21,3/13,6/29,3/20,3/21,5/24,4/21,2/17,2/13
20230314,6/33,3/16,6/24,6/28,6/28,3/19,0/10,5/26,5/20,5/20,5/18,4/17,2/12,1/10
20230312,6/33,2/16,3/22,4/27,4/26,3/22,3/8,5/27,2/19,2/20,3/20,3/17,3/14,4/12
20230309,6/33,1/6,1/22,3/27,4/22,4/14,3/4,6/27,2/12,1/16,2/15,4/14,3/11,4/8
20230307,6/33,1/9,4/22,4/28,5/28,5/21,2/8,5/25,0/8,3/12,3/17,4/19,5/17,4/14
20230305,6/33,3/12,4/23,6/28,5/28,3/20,2/11,4/27,3/12,3/17,4/20,2/18,2/16,1/13
20230302,6/33,4/16,4/18,4/20,3/20,0/11,0/3,4/26,4/17,4/17,2/16,1/14,0/11,0/9
20230228,6/33,2/15,5/24,5/28,6/27,4/19,2/9,5/26,3/16,4/20,4/19,4/14,3/12,2/11
20230226,6/33,3/15,5/23,5/27,4/26,1/13,1/5,5/27,2/18,5/21,4/18,2/14,2/12,2/10
20230223,6/33,2/15,3/24,5/28,3/15,2/11,0/3,5/26,4/18,4/17,2/12,2/10,2/8,1/6
20230221,6/33,2/12,2/21,5/26,5/25,3/9,1/2,5/24,2/12,3/16,3/14,3/15,3/12,3/6
20230219,6/33,2/15,4/22,5/28,6/26,4/20,2/6,4/28,3/17,3/20,3/18,3/14,2/11,2/8
20230216,6/33,2/14,4/24,6/28,6/27,4/18,0/4,5/25,3/13,3/16,4/19,3/16,3/12,1/7
20230214,6/33,0/13,4/23,6/28,6/28,6/22,2/10,3/28,1/17,1/20,2/20,3/21,3/20,2/15
20230212,6/33,2/7,4/23,4/28,3/28,4/21,1/6,4/23,2/10,3/14,2/16,1/15,2/12,1/9
20230209,6/33,2/12,3/21,6/28,6/26,4/21,2/8,6/27,2/17,4/19,6/19,5/18,3/12,3/10
20230207,6/33,1/9,5/23,5/28,5/28,2/15,1/4,5/27,2/12,3/18,4/20,4/19,2/13,1/8
20230205,6/33,3/12,4/21,6/28,5/28,3/22,3/12,5/28,2/13,3/17,4/21,4/21,4/19,3/16
20230202,6/33,2/13,6/23,6/28,6/28,4/21,0/9,6/26,5/16,5/19,5/20,6/21,4/16,2/11
20230131,6/33,2/12,4/22,6/28,5/27,4/21,2/12,6/30,3/13,4/18,5/22,6/24,4/22,3/17
20230129,6/33,2/12,4/22,5/28,3/27,4/21,2/6,4/26,2/15,2/17,2/19,2/19,3/14,3/10
20230117,6/33,2/12,3/17,6/28,5/26,5/21,1/5,6/28,2/10,4/10,3/14,5/19,4/14,3/10
20230115,6/33,3/13,4/21,5/28,6/28,3/21,3/14,6/29,2/12,3/17,4/19,4/20,4/20,3/18
20230112,6/33,1/4,3/13,5/28,5/28,4/21,1/9,4/27,3/13,3/15,2/18,3/18,3/19,2/16
20230110,6/33,3/9,6/21,5/27,5/27,3/21,0/11,5/26,2/10,5/15,4/18,3/19,1/17,0/14
20230108,6/33,4/16,4/22,5/28,5/26,2/15,1/8,6/27,4/16,4/19,4/19,2/18,1/15,1/12
20230105,6/33,2/13,3/22,5/28,4/26,1/6,1/2,6/27,2/12,3/17,5/20,2/17,2/13,2/9
20230103,6/33,4/18,6/23,5/27,2/15,1/12,0/6,6/30,6/23,5/23,1/14,1/10,1/8,0/7
20230101,6/33,1/14,4/24,5/28,5/27,5/19,3/13,4/27,3/20,3/22,2/20,2/15,3/13,2/9
20221229,6/33,4/16,4/24,5/27,5/28,2/18,0/6,4/22,4/16,2/16,2/15,1/11,1/8,0/6
20221227,6/33,1/15,2/21,3/27,3/25,4/11,2/4,6/26,2/18,4/19,3/18,3/14,4/11,4/8
20221225,6/33,4/16,5/21,4/28,5/26,1/6,1/3,6/29,5/20,5/18,3/18,4/12,3/8,2/8
20221222,6/33,4/13,5/21,5/28,1/11,1/3,0/2,6/26,4/17,4/17,3/13,1/10,0/8,0/7
20221220,6/33,3/15,4/22,5/28,2/13,1/4,0/2,5/26,3/14,3/13,1/14,2/12,2/10,1/6
20221218,6/33,1/17,2/22,4/28,4/17,4/12,2/6,6/28,2/18,2/18,3/17,4/13,4/11,3/9
20221215,6/33,1/17,3/21,4/28,4/19,5/16,3/10,6/24,4/16,4/18,3/14,4/14,4/10,3/6
20221213,6/33,3/16,3/21,5/28,5/25,2/18,2/5,5/25,3/15,3/17,3/19,1/16,1/14,2/10
20221211,6/33,4/16,4/20,2/12,3/16,2/14,0/3,6/28,5/14,3/13,2/13,3/12,1/10,1/8
20221208,6/33,3/16,5/22,5/22,4/21,1/6,0/3,6/28,5/21,5/19,5/15,3/14,2/11,1/9
20221206,6/33,2/16,5/24,6/28,6/26,2/14,1/8,6/28,5/21,6/20,5/19,4/15,2/12,1/10
20221204,6/33,3/15,6/21,6/28,3/22,2/13,0/4,4/28,4/15,4/22,3/19,2/17,2/14,0/10
20221201,6/33,2/16,4/21,5/27,4/19,2/6,0/3,4/28,3/19,3/20,3/19,3/16,3/14,2/11
20221129,6/33,1/11,2/20,5/28,5/26,4/17,1/3,5/26,1/13,3/15,4/17,3/14,2/9,2/6
20221127,6/33,2/13,6/24,6/28,6/28,3/20,0/4,4/25,4/17,4/20,4/19,4/16,2/12,0/9
20221124,6/33,3/13,4/23,5/28,5/27,3/13,1/3,5/30,2/19,4/23,4/23,4/20,4/15,3/10
20221122,6/33,2/14,4/23,4/28,5/28,4/21,1/6,4/26,3/16,1/17,2/19,2/16,2/16,1/12
20221120,6/33,2/13,5/23,6/28,6/28,4/19,1/9,5/26,5/15,5/20,5/20,5/15,4/14,2/11
20221117,6/33,2/7,2/21,3/26,2/28,3/19,2/4,6/25,2/13,2/15,2/15,2/15,3/13,3/10
20221115,6/33,4/13,5/21,6/28,4/27,1/16,0/3,4/26,2/12,4/18,3/18,1/14,0/12,0/8
20221113,6/33,2/13,4/22,5/28,5/28,4/19,0/3,5/27,2/14,4/18,4/18,4/17,4/17,3/13
20221110,6/33,3/13,4/22,6/28,6/26,2/14,0/3,5/28,2/16,3/19,5/18,3/16,2/14,1/7
20221108,6/33,1/11,3/22,6/28,5/26,4/19,2/7,5/24,2/11,3/15,4/17,3/15,1/11,1/9
20221106,6/33,4/12,4/20,5/28,4/28,1/18,1/7,3/26,2/15,2/17,2/20,1/18,0/15,1/12
20221103,6/33,2/13,3/20,4/27,4/26,1/9,1/2,5/27,2/14,2/16,3/18,3/15,2/14,2/12
20221101,6/33,4/16,5/22,4/28,2/14,1/7,1/3,5/25,4/15,3/17,1/13,2/9,2/8,1/8
20221030,6/33,3/15,4/22,6/28,5/23,2/10,0/3,5/30,4/16,5/18,4/22,2/17,0/14,0/9
20221027,6/27,0/2,3/11,6/21,5/16,3/10,0/5,6/26,2/10,4/14,5/14,6/15,4/12,2/8
20221025,6/33,0/6,3/18,6/27,6/27,4/20,2/13,3/25,1/10,1/14,3/16,2/16,2/16,2/12
20221023,6/33,0/3,2/18,4/24,5/25,5/20,0/3,5/25,0/10,1/14,3/16,3/14,5/14,2/10
20221020,6/33,1/13,2/18,4/26,5/21,0/6,0/2,3/28,1/15,0/15,1/17,1/15,1/11,1/8
20221018,6/33,2/14,4/22,5/28,4/26,4/20,0/4,6/25,4/15,4/17,4/18,4/16,4/16,3/13
20221016,6/33,5/16,5/24,4/27,4/28,0/19,1/8,6/29,4/18,5/22,3/19,0/17,0/13,1/10
20221013,6/33,2/13,4/23,6/28,6/28,2/14,0/5,3/26,1/18,3/20,2/17,1/16,1/12,1/11
20221011,6/33,2/14,2/23,5/28,5/28,3/17,4/6,4/24,1/16,2/18,3/19,3/15,3/13,4/11
20221009,6/33,2/16,4/23,6/28,6/27,4/18,1/8,5/26,4/15,5/18,4/19,2/14,2/11,1/8
20221006,6/33,3/14,3/23,5/27,4/27,4/19,0/4,5/29,4/15,4/19,4/20,3/19,2/12,2/11
20220929,6/33,1/13,3/20,6/28,6/26,6/20,0/4,3/26,2/14,2/15,3/16,3/18,2/14,1/10
20220927,6/33,3/15,4/20,5/28,5/27,3/21,2/17,5/24,3/13,3/14,2/14,3/16,3/16,3/14
20220925,6/33,3/10,4/19,4/28,5/24,3/13,0/2,6/25,3/12,4/13,3/12,3/12,3/10,2/8
20220922,6/33,2/14,5/22,6/28,4/21,1/9,0/2,3/24,2/13,3/16,2/14,1/11,1/9,0/6
20220920,6/33,3/17,5/21,4/21,3/16,1/11,1/3,6/30,3/18,5/22,3/18,1/13,1/11,1/7
20220918,6/33,3/15,4/21,4/26,5/26,1/14,1/6,6/29,4/20,4/19,4/20,4/16,2/13,2/10
20220915,6/33,4/15,5/21,6/28,5/25,1/13,0/5,6/27,3/15,4/16,5/18,2/15,1/12,1/11
20220913,6/33,0/13,4/22,5/28,6/28,6/20,2/9,5/28,2/14,4/18,4/20,5/20,4/15,3/12
20220911,6/33,2/12,6/22,6/28,6/28,3/10,0/3,6/26,3/11,4/16,6/20,5/15,2/11,1/5
20220908,6/33,2/7,2/21,4/28,5/27,3/9,0/2,5/24,2/12,2/15,3/18,3/15,3/12,3/11
20220906,6/33,3/12,3/14,6/28,6/26,4/21,0/4,6/29,4/12,4/15,5/16,5/17,4/19,2/15
20220904,2/9,0/1,0/3,1/2,1/3,1/2,0/1,4/22,1/9,2/11,3/12,2/11,3/13,2/11
20220901,6/33,1/8,2/17,5/27,5/27,5/20,1/7,5/26,1/11,2/12,1/14,4/18,4/15,2/12
20220830,6/20,2/8,4/9,3/8,2/8,2/6,0/1,6/26,4/12,3/13,3/12,3/12,1/9,1/8
20220828,6/33,2/13,1/19,4/28,4/27,4/21,2/5,6/28,2/12,1/16,1/16,4/20,4/18,4/14
20220825,6/33,4/12,5/20,4/28,2/27,0/3,1/3,5/23,3/9,3/13,2/15,1/11,0/7,1/5
20220823,6/33,3/14,4/20,4/26,3/21,2/7,1/3,5/26,2/14,1/16,2/17,2/11,2/8,2/6
20220821,6/33,1/13,4/21,4/26,3/18,0/4,1/2,5/30,0/12,2/17,1/17,2/14,3/10,3/7
20220818,6/33,2/13,5/18,5/25,4/19,0/2,0/2,5/28,2/14,4/17,5/14,3/11,1/7,0/5
20220816,6/33,3/14,5/23,5/28,5/21,1/8,1/3,4/26,3/20,2/18,2/18,2/14,1/12,1/8
20220814,6/33,0/13,2/22,5/26,5/20,1/4,1/3,3/25,0/16,2/17,2/14,1/10,1/7,1/5
20220811,6/33,2/14,5/24,6/27,5/21,0/4,0/4,6/27,5/19,5/21,3/16,2/12,1/9,1/6
20220809,6/33,1/16,5/23,6/28,6/27,5/19,3/13,4/25,4/15,4/20,3/17,3/15,3/13,2/10
20220807,6/33,2/13,1/23,5/28,4/26,4/18,4/10,4/25,1/15,1/18,3/20,3/18,3/14,3/13
20220804,6/33,2/12,3/22,3/28,4/28,3/21,2/10,5/30,2/12,2/17,1/19,2/18,0/17,2/14
20220802,6/33,2/10,6/22,6/26,5/25,2/12,0/3,5/27,2/12,3/16,4/14,3/14,1/12,0/7
20220731,6/33,4/16,5/23,6/28,6/28,2/12,0/4,4/26,3/17,4/20,3/16,2/12,2/10,1/6
20220728,6/33,3/11,4/22,5/28,4/26,0/9,0/4,1/25,1/11,0/15,0/18,0/12,0/7,0/6
20220726,6/33,3/14,3/21,3/26,4/26,2/15,2/5,3/23,1/11,1/13,0/13,0/13,1/12,2/9
20220724,6/33,1/10,1/12,5/26,4/26,5/21,1/2,4/29,1/14,2/18,2/19,2/19,3/18,3/15
20220721,6/33,3/14,6/21,6/28,5/23,0/5,0/3,4/26,3/18,4/18,3/15,3/13,0/10,0/7
20220719,6/33,1/7,3/20,5/28,4/26,3/21,1/5,4/26,2/13,3/15,3/17,3/19,3/15,1/11
20220717,6/33,3/14,4/21,6/28,6/28,3/21,0/2,5/29,2/12,2/14,4/19,4/20,2/17,2/14
20220714,6/33,2/13,5/22,6/28,6/27,5/21,1/4,5/25,2/13,4/18,4/16,4/18,3/12,1/8
20220712,6/33,2/10,5/22,5/28,5/26,4/21,1/9,6/27,3/13,4/18,5/20,4/17,3/14,1/11
20220710,6/33,4/14,4/22,4/28,3/26,3/14,1/4,5/27,4/17,3/17,2/19,1/14,1/12,1/9
20220707,6/33,1/10,2/16,5/27,5/25,5/21,0/4,5/23,1/8,2/10,5/13,3/16,3/16,3/13
20220705,6/33,4/15,4/22,6/28,4/22,0/13,0/3,5/28,2/12,5/18,3/19,1/17,0/14,0/11
20220703,6/33,3/16,2/19,3/24,3/17,3/12,0/3,4/21,1/13,1/12,3/11,3/10,1/7,1/7
20220630,6/33,2/12,4/19,5/26,3/20,0/5,1/2,6/26,3/13,4/15,4/16,3/15,2/12,2/8
20220628,6/33,3/14,4/20,6/28,5/24,1/12,0/3,6/28,4/14,4/20,6/21,3/16,2/12,1/11
20220626,6/33,1/13,5/22,5/28,4/27,1/7,1/3,4/27,0/13,2/18,3/18,1/13,2/9,2/7
20220623,6/33,2/12,4/21,5/28,5/28,3/18,1/4,5/27,3/16,4/22,3/21,3/17,1/13,2/10
20220621,6/33,3/13,3/20,5/28,3/25,1/10,1/2,3/26,1/13,1/15,2/16,1/11,1/10,2/8
20220619,6/33,3/14,4/22,6/28,6/28,3/14,1/8,5/25,4/17,3/18,4/17,2/15,2/12,2/11
20220616,6/33,2/9,3/22,6/28,6/27,5/21,1/4,3/22,2/8,2/10,2/12,1/14,1/10,0/6
20220614,6/33,3/15,3/22,5/28,5/27,4/21,0/5,6/26,4/14,3/16,3/16,3/18,4/17,3/15
20220612,6/33,2/12,4/20,6/28,6/27,4/21,0/5,5/24,3/12,4/16,4/17,4/16,3/15,2/12
20220609,6/33,1/5,3/20,5/28,6/27,5/20,2/7,5/24,2/12,2/15,3/15,3/14,4/13,4/10
20220607,6/33,0/5,4/16,5/28,4/25,3/20,1/3,4/24,2/9,2/10,3/14,4/15,2/11,2/8
20220605,6/33,3/12,5/22,5/28,6/26,1/9,1/4,6/28,4/13,3/16,4/18,3/15,2/10,2/7
20220602,6/33,0/12,5/23,5/28,5/28,5/20,1/6,3/24,1/14,1/15,1/16,2/16,1/11,2/9
20220531,6/33,2/13,3/22,4/28,3/27,1/10,1/4,5/28,4/18,3/21,1/19,1/15,0/11,1/7
20220529,6/33,0/12,3/22,5/28,5/27,4/17,2/9,6/28,1/13,2/17,4/19,2/14,1/10,1/7
20220526,6/33,2/16,4/22,5/28,5/27,2/17,1/6,5/27,1/15,2/18,4/20,2/17,2/11,2/9
20220524,6/33,3/16,3/21,4/27,5/26,2/13,2/4,3/25,1/16,1/19,0/17,1/14,1/9,2/8
20220522,6/33,2/16,3/22,5/28,5/27,4/20,3/13,6/28,2/15,3/19,5/23,3/20,3/18,3/13
20220519,6/33,3/12,4/23,5/28,5/27,1/13,0/4,6/29,4/20,4/22,5/21,3/16,1/12,1/9
20220517,6/33,3/16,3/23,4/28,3/27,2/18,2/8,6/26,4/18,4/18,4/20,1/14,1/10,2/7
